timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1718987463803,668,HTTP Request,200,OK,Thread Group 180 1-165,text,true,,1708,13918,3,3,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,668,0,139
1718987464136,609,HTTP Request,200,OK,Thread Group 180 1-166,text,true,,1708,15100,2,2,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,609,0,99
1718987464469,712,HTTP Request,200,OK,Thread Group 180 1-167,text,true,,1708,15542,3,3,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,712,0,127
1718987464802,623,HTTP Request,200,OK,Thread Group 180 1-168,text,true,,1708,14267,2,2,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,623,0,111
1718987465134,618,HTTP Request,200,OK,Thread Group 180 1-169,text,true,,1708,13518,2,2,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,618,0,121
1718987465469,614,HTTP Request,200,OK,Thread Group 180 1-170,text,true,,1708,12514,2,2,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,614,0,122
1718987465801,643,HTTP Request,200,OK,Thread Group 180 1-171,text,true,,1708,14794,2,2,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,643,0,98
1718987466134,634,HTTP Request,200,OK,Thread Group 180 1-172,text,true,,1708,13856,2,2,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,634,0,119
1718987466467,685,HTTP Request,200,OK,Thread Group 180 1-173,text,true,,1708,14604,3,3,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,685,0,147
1718987466800,654,HTTP Request,200,OK,Thread Group 180 1-174,text,true,,1708,11214,2,2,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,654,0,139
1718987467132,653,HTTP Request,200,OK,Thread Group 180 1-175,text,true,,1708,15936,2,2,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,653,0,152
1718987467466,641,HTTP Request,200,OK,Thread Group 180 1-176,text,true,,1708,16696,2,2,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,641,0,115
1718987467798,628,HTTP Request,200,OK,Thread Group 180 1-177,text,true,,1708,14511,2,2,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,628,0,102
1718987468131,619,HTTP Request,200,OK,Thread Group 180 1-178,text,true,,1708,13409,2,2,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,619,0,135
1718987468465,836,HTTP Request,200,OK,Thread Group 180 1-179,text,true,,1708,16680,2,2,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,836,0,141
1718987468799,650,HTTP Request,200,OK,Thread Group 180 1-180,text,true,,1708,13540,1,1,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,650,0,116
